album_uri,album_name,album_img,album_release_date,album_release_year,album_popularity,track_name,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode,track_popularity,artist
3C2MFZ2iHotUQOSBzdSvM7,Lonerism,https://i.scdn.co/image/55c7319ab73d68dcfb106e738997f239c5ff1333,2012-01-01,2012-01-01,61,Elephant,6qZjm61s6u8Ead9sWxCDro,0.597,0.575,D,-6.665,major,0.04,0.557,0.342,0.254,0.621,122.959,211227,4,D major,63,Tame Impala
3C2MFZ2iHotUQOSBzdSvM7,Lonerism,https://i.scdn.co/image/55c7319ab73d68dcfb106e738997f239c5ff1333,2012-01-01,2012-01-01,61,She Just Won't Believe Me,4Klyx5dYqZV9YefSecDwDv,0.258,0.402,C,-6.788,major,0.0366,0.129,0.194,0.531,0.16,81.477,57173,4,C major,44,Tame Impala
3C2MFZ2iHotUQOSBzdSvM7,Lonerism,https://i.scdn.co/image/55c7319ab73d68dcfb106e738997f239c5ff1333,2012-01-01,2012-01-01,61,Nothing That Has Happened So Far Has Been Anything We Could Control,33JMMgxQKL3zJsZeMNC3gR,0.346,0.893,F,-3.454,minor,0.0437,0.0501,0.487,0.0773,0.367,99.972,359947,4,F minor,49,Tame Impala
3C2MFZ2iHotUQOSBzdSvM7,Lonerism,https://i.scdn.co/image/55c7319ab73d68dcfb106e738997f239c5ff1333,2012-01-01,2012-01-01,61,Sun's Coming Up,7Jk2pg4g0c5rz5AfkEGMRp,0.293,0.792,G,-6.969,minor,0.0963,0.961,0.0968,0.7,0.404,123.97,320293,3,G minor,44,Tame Impala
0hvAeXbySSAdJVOG5x9IAk,Live Versions,https://i.scdn.co/image/df84ee7028445bc97196d290627561f6e3e8a10b,2014-05-20,2014-05-20,7,Endors Toi - Live,61sr9B5WHhDkVzYsn2fbdJ,0.389,0.794,D#,-7.104,major,0.0583,0.0524,0.0752,0.892,0.274,129.028,357108,4,D# major,5,Tame Impala
0hvAeXbySSAdJVOG5x9IAk,Live Versions,https://i.scdn.co/image/df84ee7028445bc97196d290627561f6e3e8a10b,2014-05-20,2014-05-20,7,Why Won't You Make Up Your Mind? - Live,2qwh4I3NP6qRsmAXOMpg0s,0.488,0.957,F,-7.322,major,0.0747,0.0482,0.335,0.202,0.153,128.225,261550,4,F major,5,Tame Impala
0hvAeXbySSAdJVOG5x9IAk,Live Versions,https://i.scdn.co/image/df84ee7028445bc97196d290627561f6e3e8a10b,2014-05-20,2014-05-20,7,Sestri Levante - Live,5l5V1VSjZMZLM66PHVImDE,0.388,0.83,A,-6.782,minor,0.0328,0.0727,0.0491,0.225,0.0861,102.384,117573,4,A minor,5,Tame Impala
0hvAeXbySSAdJVOG5x9IAk,Live Versions,https://i.scdn.co/image/df84ee7028445bc97196d290627561f6e3e8a10b,2014-05-20,2014-05-20,7,Mind Mischief - Live,2JBjRWnDvuO7qWdkmtX2Hx,0.297,0.834,F#,-6.149,major,0.0455,0.0924,0.533,0.908,0.432,161.261,236284,4,F# major,5,Tame Impala
0hvAeXbySSAdJVOG5x9IAk,Live Versions,https://i.scdn.co/image/df84ee7028445bc97196d290627561f6e3e8a10b,2014-05-20,2014-05-20,7,Desire Be Desire Go - Live,6x1uHwpjGdS6GukDOjqpat,0.145,0.842,G#,-4.816,major,0.0562,0.0294,3.12e-4,0.856,0.482,149.967,324140,4,G# major,5,Tame Impala
0hvAeXbySSAdJVOG5x9IAk,Live Versions,https://i.scdn.co/image/df84ee7028445bc97196d290627561f6e3e8a10b,2014-05-20,2014-05-20,7,Half Full Glass Of Wine - Live,2pq0PzIPg7idAujwXUh55B,0.281,0.81,D,-6.751,major,0.0536,0.058,0.222,0.982,0.228,121.824,494209,4,D major,6,Tame Impala
